id,correct
0,0
1,0
2,1
3,0
4,1
5,1
6,1
7,1
8,0
9,0
10,1
11,0
12,1
13,1
14,0
15,1
16,1
17,0
18,0
19,1
20,0
21,0
22,0
23,0
24,1
25,0
26,1
27,0
28,0
29,1
30,1
31,0
32,1
33,0
34,0
35,1
36,1
37,0
38,1
39,0
40,0
41,1
42,0
43,1
44,0
45,0
46,1
47,1
48,1
49,1
50,0
51,1
52,0
53,1
54,1
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,0
68,1
69,1
70,0
71,0
72,0
73,0
74,0
75,0
76,1
77,1
78,1
79,1
80,1
81,0
82,1
83,0
84,0
85,1
86,0
87,1
88,1
89,0
90,1
91,1
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,0
100,0
101,1
102,0
103,1
104,0
105,0
106,0
107,0
108,1
109,0
110,1
111,0
112,1
113,0
114,0
115,1
116,1
117,0
118,0
119,0
120,1
121,0
122,1
123,1
124,1
125,1
126,1
127,1
128,0
129,0
130,1
131,1
132,1
133,1
134,0
135,1
136,0
137,1
138,0
139,1
140,0
141,0
142,0
143,1
144,0
145,0
146,0
147,1
148,1
149,0
150,1
151,1
152,1
153,1
154,1
155,1
156,0
157,1
158,0
159,0
160,0
161,1
162,0
163,0
164,1
165,1
166,0
167,1
168,1
169,0
170,0
171,0
172,0
173,1
174,0
175,0
176,1
177,0
178,1
179,1
180,0
181,1
182,0
183,1
184,1
185,1
186,1
187,1
188,0
189,1
190,1
191,1
192,0
193,0
194,0
195,1
196,0
197,1
198,1
199,0
200,1
201,0
202,1
203,1
204,1
205,1
206,0
207,0
208,0
209,1
210,1
211,0
212,0
213,1
214,1
215,1
216,1
217,1
218,1
219,0
220,1
221,0
222,1
223,0
224,0
225,1
226,1
227,1
228,0
229,1
230,0
231,0
232,1
233,0
234,1
235,0
236,0
237,0
238,1
239,1
240,1
241,0
242,1
243,1
244,0
245,0
246,1
247,0
248,0
249,0
250,1
251,0
252,0
253,0
254,0
255,1
256,0
257,0
258,1
259,0
260,0
261,0
262,0
263,1
264,1
265,1
266,1
267,1
268,1
269,0
270,0
271,1
272,1
273,0
274,0
275,1
276,1
277,1
278,1
279,1
280,1
281,0
282,0
283,1
284,1
285,0
286,1
287,1
288,1
289,1
290,1
291,0
292,0
293,1
294,0
295,0
296,1
297,0
298,1
299,0
300,1
301,0
302,1
303,0
304,1
305,1
306,0
307,1
308,0
309,1
310,1
311,0
312,1
313,0
314,0
315,0
316,0
317,1
318,0
319,1
320,0
321,1
322,0
323,0
324,0
325,0
326,1
327,1
328,1
329,1
330,0
331,0
332,1
333,0
334,0
335,0
336,0
337,0
338,1
339,1
340,0
341,1
342,0
343,0
344,0
345,0
346,1
347,0
348,0
349,1
350,1
351,0
352,0
353,0
354,1
355,0
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,0
365,1
366,1
367,1
368,1
369,0
370,1
371,1
372,0
373,0
374,0
375,1
376,1
377,1
378,1
379,0
380,0
381,0
382,1
383,0
384,0
385,1
386,1
387,0
388,0
389,1
390,1
391,1
392,0
393,1
394,1
395,1
396,0
397,0
398,0
399,1
400,0
401,0
402,1
403,1
404,1
405,1
406,0
407,1
408,0
409,0
410,1
411,0
412,0
413,1
414,1
415,0
416,0
417,1
418,1
419,1
420,1
421,0
422,0
423,0
424,1
425,0
426,1
427,0
428,0
429,0
430,1
431,0
432,1
433,1
434,1
435,0
436,1
437,1
438,0
439,1
440,0
441,1
442,1
443,1
444,0
445,1
446,1
447,0
448,1
449,0
450,1
451,1
452,1
453,0
454,0
455,1
456,0
457,0
458,1
459,0
460,0
461,1
462,1
463,1
464,1
465,0
466,1
467,1
468,1
469,0
470,0
471,1
472,0
473,1
474,0
475,0
476,0
477,0
478,1
479,0
480,1
481,1
482,1
483,1
484,1
485,1
486,0
487,0
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,0
496,1
497,1
498,0
499,0
500,1
501,0
502,1
503,1
504,1
505,0
506,1
507,0
508,1
509,0
510,1
511,1
512,1
513,1
514,0
515,1
516,0
517,1
518,0
519,1
520,0
521,1
522,1
523,0
524,0
525,0
526,1
527,1
528,1
529,1
530,0
531,1
532,1
